id;contenu_co2;contenu_co2_acv;taux_enr;feges
4227C;0;0.023;1;0.023
4233C;0;0.024;1;0.024
4224C;0;0.03;1;0.03
4202C;0.216;0.253;0;0.253
4203C;0.199;0.231;0;0.231
4204C;0.289;0.305;0;0.305
4210C;0.067;0.091;0.743;0.091
4213C;0.039;0.089;0.741;0.089
4231C;0.049;0.077;0.846;0.077
4232C;0.058;0.095;0.828;0.095
4228C;0.051;0.093;0.923;0.093
4238C;0.033;0.065;0.912;0.065
4223C;0.003;0.026;0.989;0.026
4229C;0.005;0.028;0.987;0.028
4250C;0.012;0.035;0.999;0.035
4248C;0.009;0.035;0.98;0.035
4252C;0.008;0.034;0.973;0.034
4246C;0.035;0.062;0.891;0.062
4215C;0.017;0.05;0.969;0.05
4305C;0;0.024;1;0.024
4304C;0;0.02;1;0.02
4306C;0;0.022;1;0.022
4302C;0;0.023;1;0.023
4303C;0.012;0.035;0.96;0.035
4309C;0;0.027;1;0.027
4314C;0;0.024;1;0.024
4310C;0;0.022;1;0.022
4301C;0.02;0.059;0.969;0.059
4307C;0.018;0.041;0.939;0.041
4402C;0.08;0.114;0.63;0.114
4401C;0.036;0.053;0.816;0.053
4403C;0.102;0.127;0.596;0.127
4405C;0.115;0.146;0.528;0.146
4410C;0.078;0.09;0.681;0.09
4406C;0.091;0.117;0.682;0.117
4408C;0.073;0.124;0.712;0.124
4407C;0.362;0.413;0.26;0.413
4409C;0.058;0.083;0.776;0.083
4507C;0.021;0.028;0.903;0.028
4505C;0.092;0.126;0.579;0.126
4504C;0.03;0.044;0.877;0.044
4501C;0.091;0.114;0.647;0.114
4503C;0;0.048;0.917;0.048
4604C;0.007;0.037;0.987;0.037
4614C;0.018;0.041;0.93;0.041
4608C;0.055;0.094;0.898;0.094
4605C;0.013;0.037;0.965;0.037
4607C;0.01;0.037;0.976;0.037
4612C;0.005;0.028;0.984;0.028
4617C;0.006;0.027;0.982;0.027
4603C;0.006;0.026;0.979;0.026
4616C;0.015;0.042;0.964;0.042
4610C;0.015;0.045;0.967;0.045
4613C;0.028;0.056;0.933;0.056
4601C;0.054;0.088;0.88;0.088
4609C;0.02;0.049;0.955;0.049
4611C;0.007;0.029;0.981;0.029
4615C;0.007;0.037;0.985;0.037
4701C;0;0.004;1;0.004
4802C;0;0.022;1;0.022
4803C;0.004;0.023;0.991;0.023
4904C;0.083;0.108;0.686;0.108
4901C;0.02;0.027;0.918;0.027
4902C;0.114;0.172;0.457;0.172
4903C;0.031;0.052;0.858;0.052
4907C;0.022;0.07;0.78;0.07
4910C;0.103;0.132;0.654;0.132
4911C;0.06;0.084;0.762;0.084
4915C;0.255;0.286;0;0.286
4913C;0.09;0.138;0.512;0.138
4908C;0.073;0.099;0.733;0.099
4912C;0.017;0.04;0.963;0.04
4914C;0;0.019;1;0.019
4905C;0.079;0.104;0.716;0.104
4916C;0.231;0.251;0;0.251
5006C;0.013;0.034;0.946;0.034
5001C;0.01;0.036;0.98;0.036
5002C;0.136;0.114;0;0.114
5005C;0;0.026;1;0.026
5003C;0.106;0.146;0.74;0.146
5004C;0.202;0.23;0.179;0.23
5107C;0.074;0.099;0.69;0.099
5104C;0.207;0.242;0;0.242
5101C;0.275;0.355;0;0.355
5106C;0.116;0.144;0.612;0.144
5108C;0.125;0.189;0.36;0.189
5109C;0.082;0.11;0.71;0.11
5103C;0.024;0.047;0.909;0.047
5208C;0;0.02;1;0.02
5204C;0.044;0.055;0.827;0.055
5213C;0;0.02;1;0.02
5209C;0.089;0.118;0.58;0.118
5205C;0;0.022;1;0.022
5214C;0;0.022;1;0.022
5202C;0.072;0.096;0.725;0.096
5207C;0;0.019;1;0.019
5303C;0.054;0.079;0.809;0.079
5305C;0.047;0.07;0.815;0.07
5302C;0.031;0.038;0.885;0.038
5304C;0;0.004;1;0.004
5415C;0;0.093;1;0.093
5409C;0;0.021;1;0.021
5414C;0.058;0.083;0.776;0.083
5408C;0.087;0.113;0.674;0.113
5413C;0.079;0.103;0.632;0.103
5401C;0.105;0.132;0.634;0.132
5407C;0.097;0.143;0.558;0.143
5411C;0.092;0.109;0.646;0.109
5412C;0.019;0.047;0.925;0.047
5403C;0.041;0.052;0.828;0.052
5410C;0.085;0.108;0.631;0.108
5504C;0;0.026;1;0.026
5501C;0.068;0.09;0.73;0.09
5503C;0.084;0.112;0.732;0.112
5505C;0;0.004;1;0.004
5502C;0.236;0.265;0;0.265
5603C;0.134;0.303;0;0.303
5605C;0;0.022;1;0.022
5602C;0;0.021;1;0.021
5601C;0.084;0.11;0.716;0.11
5604C;0;0.071;1;0.071
5608C;0.005;0.025;0.976;0.025
5607C;0.033;0.06;0.891;0.06
5720C;0.024;0.046;0.906;0.046
5708C;0;0.066;0.861;0.066
5719C;0.002;0.027;0.995;0.027
5716C;0.282;0.317;0;0.317
5713C;0.216;0.267;0.143;0.267
5703C;0.068;0.092;0.708;0.092
5706C;0.084;0.118;0.638;0.118
5701C;0.031;0.097;0.702;0.097
5721C;0.052;0.075;0.784;0.075
5717C;0.277;0.311;0;0.311
5705C;0.268;0.324;0;0.324
5709C;0.232;0.261;0;0.261
5710C;0.15;0.178;0.419;0.178
5711C;0.203;0.228;0;0.228
5722C;0.227;0.269;0;0.269
5714C;0.12;0.147;0.556;0.147
5707C;0.076;0.121;0.632;0.121
5712C;0;0.044;0.94;0.044
5702C;0.06;0.083;0.77;0.083
5805C;0;0.028;1;0.028
5806C;0;0.02;1;0.02
5816C;0;0.026;1;0.026
5817C;0.137;0.187;0.731;0.187
5821C;0.098;0.125;0.639;0.125
5818C;0;0.02;1;0.02
5820C;0.221;0.28;0.55;0.28
5814C;0;0.02;1;0.02
5807C;0.075;0.112;0.834;0.112
5819C;0.021;0.042;0.912;0.042
5803C;0.068;0.099;0.818;0.099
5823C;0.022;0.044;0.92;0.044
5808C;0.033;0.063;0.923;0.063
5824C;0.01;0.033;0.964;0.033
5809C;0.022;0.049;0.942;0.049
5827C;0.127;0.173;0.776;0.173
5822C;0.048;0.079;0.884;0.079
5802C;0.051;0.077;0.731;0.077
5825C;0;0.021;1;0.021
5810C;0;0.021;1;0.021
5811C;0.001;0.027;0.996;0.027
5812C;0.052;0.089;0.856;0.089
5804C;0;0.023;1;0.023
5815C;0.057;0.089;0.925;0.089
5828C;0.012;0.032;0.945;0.032
5813C;0;0.021;1;0.021
5826C;0;0.023;1;0.023
5913C;0.199;0.167;0.333;0.167
5918C;0.219;0.246;0;0.246
5922C;0.138;0.156;0.518;0.156
5915C;0.03;0.036;0.882;0.036
5914C;0.118;0.14;0.561;0.14
5920C;0.029;0.039;0.927;0.039
5916C;0.082;0.113;0.69;0.113
5911C;0.119;0.157;0.515;0.157
5910C;0.082;0.096;0.672;0.096
5917C;0.095;0.121;0.62;0.121
5919C;0.222;0.265;0;0.265
5912C;0.066;0.077;0.73;0.077
5909C;0.083;0.114;0.593;0.114
5901C;0.062;0.089;0.695;0.089
5908C;0.09;0.11;0.654;0.11
5902C;0.11;0.252;0;0.252
5904C;0.099;0.12;0.625;0.12
5905C;0.239;0.269;0;0.269
5906C;0.112;0.168;0.448;0.168
5907C;0.114;0.141;0.557;0.141
6005C;0.006;0.027;0.981;0.027
6006C;0.017;0.042;0.944;0.042
6001C;0.179;0.208;0.316;0.208
6002C;0.095;0.144;0.465;0.144
6008C;0;0.004;1;0.004
6004C;0.219;0.253;0;0.253
6003C;0.085;0.109;0.594;0.109
6007C;0.071;0.083;0.738;0.083
6101C;0.045;0.068;0.825;0.068
6109C;0.106;0.13;0.551;0.13
6103C;0.098;0.124;0.605;0.124
6102C;0.054;0.078;0.802;0.078
6104C;0.017;0.039;0.93;0.039
6105C;0.031;0.056;0.863;0.056
6209C;0.088;0.105;0.632;0.105
6213C;0;0.022;1;0.022
6202C;0.099;0.126;0.642;0.126
6210C;0.121;0.164;0.473;0.164
6201C;0.201;0.254;0;0.254
6204C;0.105;0.137;0.61;0.137
6211C;0.098;0.152;0.369;0.152
6207C;0.135;0.165;0.521;0.165
6203C;0.023;0.043;0.912;0.043
6206C;0.224;0.25;0.115;0.25
6205C;0.195;0.381;0;0.381
6212C;0.143;0.324;0;0.324
6215C;0;0.004;1;0.004
6310C;0;0.021;1;0.021
6315C;0;0.026;1;0.026
6312C;0;0.03;1;0.03
6304C;0.213;0.248;0;0.248
6303C;0.231;0.253;0;0.253
6306C;0.074;0.127;0.586;0.127
6308C;0.025;0.047;0.905;0.047
6314C;0;0.027;1;0.027
6309C;0.077;0.116;0.817;0.116
6301C;0.02;0.043;0.929;0.043
6305C;0.007;0.038;0.985;0.038
6307C;0.239;0.268;0;0.268
6311C;0;0.027;1;0.027
6402C;0.044;0.069;0.828;0.069
6401C;0.027;0.049;0.895;0.049
6403C;0.047;0.061;0.822;0.061
6501C;0.069;0.097;0.752;0.097
6601C;0;0.022;1;0.022
6604C;0.006;0.01;0.983;0.01
6716C;0;0.029;1;0.029
6727C;0.103;0.274;0;0.274
6710C;0.06;0.081;0.727;0.081
6714C;0;0.004;1;0.004
6739C;0.088;0.255;0;0.255
6717C;0;0.021;1;0.021
6713C;0.086;0.156;0.543;0.156
6726C;0.138;0.316;0.8;0.316
6711C;0.051;0.078;0.809;0.078
6715C;0.05;0.072;0.78;0.072
6741C;0.16;0.366;0;0.366
6723C;0;0.015;1;0.015
6712C;0;0.025;1;0.025
6732C;0.134;0.202;0;0.202
6709C;0.204;0.27;0;0.27
6728C;0.073;0.048;0.658;0.048
6731C;0.108;0.164;0.392;0.164
6736C;0;0.004;1;0.004
6737C;0;0.004;1;0.004
6724C;0.035;0.056;0.859;0.056
6702C;0.16;0.251;0;0.251
6703C;0.081;0.103;0.694;0.103
6704C;0.059;0.031;0.691;0.031
6705C;0.128;0.122;0.433;0.122
6708C;0.033;0.053;0.848;0.053
6722C;0.067;0.089;0.678;0.089
6725C;0.027;0.041;0.898;0.041
6730C;0.092;0.079;0.547;0.079
6733C;0.011;0.11;0.571;0.11
6735C;0.004;0.023;0.981;0.023
6738C;0.009;0.021;0.962;0.021
